user_id,time_id,reg_id
1,1,436
1,2,405
1,3,692
1,4,973
1,5,755
1,6,848
1,7,1003
1,8,1004
1,9,693
1,10,598
1,11,633
1,12,703
1,13,766
1,14,570
1,15,763
1,16,825
1,17,763
1,18,701
1,19,798
1,20,830
1,21,438
1,22,532
1,23,532
1,24,343
1,25,279
1,26,438
1,27,532
1,28,532
1,29,532
1,30,438
1,31,501
1,32,596
1,33,562
1,34,593
1,35,531
1,36,630
1,37,596
1,38,438
1,39,438
1,40,628
2,1,395
2,2,365
2,3,395
2,4,395
2,5,394
2,6,142
2,7,142
2,8,110
2,9,299
2,10,299
2,11,299
2,12,169
2,13,305
2,14,304
2,15,309
2,16,271
2,17,236
2,18,236
2,19,268
2,20,141
2,21,207
2,22,174
2,23,174
2,24,240
2,25,240
2,26,207
2,27,207
2,28,240
2,29,181
2,30,143
2,31,243
2,32,274
2,33,52
2,34,247
2,35,313
2,36,182
2,37,117
2,38,52
2,39,280
2,40,279
3,1,966
3,2,967
3,3,966
3,4,935
3,5,843
3,6,812
3,7,750
3,8,785
3,9,716
3,10,718
3,11,654
3,12,716
3,13,752
3,14,654
3,15,654
3,16,748
3,17,719
3,18,565
3,19,719
3,20,781
3,21,966
3,22,967
3,23,750
3,24,779
3,25,748
3,26,748
3,27,718
3,28,904
3,29,998
3,30,688
3,31,628
3,32,849
3,33,628
3,34,782
3,35,598
3,36,597
3,37,599
3,38,905
3,39,905
3,40,687
4,1,168
4,2,134
4,3,359
4,4,232
4,5,102
4,6,135
4,7,102
4,8,199
4,9,264
4,10,265
4,11,265
4,12,264
4,13,391
4,14,199
4,15,167
4,16,200
4,17,167
4,18,162
4,19,161
4,20,164
4,21,168
4,22,163
4,23,162
4,24,100
4,25,133
4,26,133
4,27,235
4,28,199
4,29,168
4,30,139
4,31,168
4,32,138
4,33,138
4,34,138
4,35,138
4,36,168
4,37,422
4,38,577
4,39,706
4,40,481
5,1,255
5,2,314
5,3,315
5,4,285
5,5,286
5,6,414
5,7,348
5,8,348
5,9,382
5,10,382
5,11,348
5,12,381
5,13,384
5,14,352
5,15,416
5,16,350
5,17,352
5,18,352
5,19,317
5,20,346
5,21,688
5,22,717
5,23,719
5,24,630
5,25,472
5,26,465
5,27,470
5,28,640
5,29,640
5,30,607
5,31,601
5,32,601
5,33,662
5,34,696
5,35,633
5,36,634
5,37,505
5,38,505
5,39,593
5,40,466
6,1,700
6,2,763
6,3,762
6,4,634
6,5,797
6,6,733
6,7,863
6,8,960
6,9,506
6,10,505
6,11,830
6,12,960
6,13,570
6,14,830
6,15,800
6,16,832
6,17,797
6,18,700
6,19,892
6,20,921
6,21,830
6,22,698
6,23,506
6,24,667
6,25,700
6,26,830
6,27,765
6,28,634
6,29,992
6,30,960
6,31,830
6,32,895
6,33,992
6,34,928
6,35,863
6,36,825
6,37,538
6,38,991
6,39,831
6,40,831
7,1,1007
7,2,908
7,3,809
7,4,683
7,5,622
7,6,589
7,7,618
7,8,452
7,9,484
7,10,295
7,11,295
7,12,386
7,13,386
7,14,421
7,15,452
7,16,586
7,17,456
7,18,390
7,19,103
7,20,71
7,21,1007
7,22,973
7,23,1007
7,24,777
7,25,840
7,26,842
7,27,713
7,28,649
7,29,713
7,30,777
7,31,808
7,32,808
7,33,973
7,34,878
7,35,878
7,36,878
7,37,942
7,38,875
7,39,1007
7,40,1007
8,1,137
8,2,306
8,3,474
8,4,470
8,5,313
8,6,248
8,7,218
8,8,283
8,9,220
8,10,220
8,11,220
8,12,220
8,13,220
8,14,254
8,15,286
8,16,255
8,17,315
8,18,286
8,19,224
8,20,346
8,21,168
8,22,138
8,23,70
8,24,139
8,25,104
8,26,138
8,27,5
8,28,170
8,29,303
8,30,240
8,31,209
8,32,179
8,33,18
8,34,82
8,35,146
8,36,180
8,37,304
8,38,264
8,39,134
8,40,135
9,1,291
9,2,259
9,3,355
9,4,426
9,5,433
9,6,385
9,7,323
9,8,449
9,9,323
9,10,385
9,11,385
9,12,227
9,13,417
9,14,289
9,15,163
9,16,101
9,17,101
9,18,132
9,19,132
9,20,132
9,21,227
9,22,430
9,23,429
9,24,398
9,25,398
9,26,398
9,27,464
9,28,464
9,29,464
9,30,464
9,31,497
9,32,430
9,33,398
9,34,333
9,35,398
9,36,333
9,37,398
9,38,301
9,39,398
9,40,333
10,1,279
10,2,246
10,3,182
10,4,150
10,5,216
10,6,378
10,7,378
10,8,216
10,9,346
10,10,348
10,11,381
10,12,381
10,13,351
10,14,381
10,15,348
10,16,254
10,17,285
10,18,378
10,19,185
10,20,248
10,21,244
10,22,246
10,23,246
10,24,310
10,25,564
10,26,843
10,27,564
10,28,626
10,29,874
10,30,688
10,31,625
10,32,564
10,33,626
10,34,595
10,35,781
10,36,688
10,37,619
10,38,587
10,39,555
10,40,619
11,1,529
11,2,499
11,3,532
11,4,525
11,5,460
11,6,589
11,7,587
11,8,591
11,9,621
11,10,620
11,11,648
11,12,621
11,13,525
11,14,558
11,15,529
11,16,530
11,17,560
11,18,560
11,19,597
11,20,601
11,21,529
11,22,558
11,23,622
11,24,622
11,25,529
11,26,528
11,27,531
11,28,562
11,29,593
11,30,593
11,31,562
11,32,599
11,33,567
11,34,601
11,35,634
11,36,634
11,37,798
11,38,765
11,39,991
11,40,700
12,1,479
12,2,479
12,3,474
12,4,470
12,5,470
12,6,404
12,7,406
12,8,434
12,9,500
12,10,532
12,11,429
12,12,429
12,13,407
12,14,369
12,15,306
12,16,246
12,17,153
12,18,246
12,19,244
12,20,275
12,21,479
12,22,473
12,23,506
12,24,506
12,25,506
12,26,700
12,27,570
12,28,635
12,29,634
12,30,635
12,31,636
12,32,672
12,33,607
12,34,607
12,35,607
12,36,606
12,37,540
12,38,443
12,39,477
12,40,477
13,1,168
13,2,168
13,3,166
13,4,166
13,5,162
13,6,166
13,7,162
13,8,37
13,9,37
13,10,305
13,11,367
13,12,402
13,13,431
13,14,334
13,15,426
13,16,649
13,17,487
13,18,521
13,19,521
13,20,521
13,21,166
13,22,164
13,23,103
13,24,103
13,25,424
13,26,428
13,27,428
13,28,426
13,29,433
13,30,467
13,31,440
13,32,440
13,33,439
13,34,504
13,35,504
13,36,472
13,37,505
13,38,534
13,39,534
13,40,534
14,1,575
14,2,477
14,3,444
14,4,313
14,5,216
14,6,249
14,7,85
14,8,52
14,9,20
14,10,185
14,11,63
14,12,185
14,13,249
14,14,20
14,15,150
14,16,248
14,17,52
14,18,111
14,19,78
14,20,78
14,21,576
14,22,575
14,23,432
14,24,297
14,25,265
14,26,265
14,27,265
14,28,233
14,29,358
14,30,200
14,31,167
14,32,137
14,33,202
14,34,265
14,35,297
14,36,298
14,37,267
14,38,301
14,39,104
14,40,277
15,1,632
15,2,632
15,3,632
15,4,568
15,5,569
15,6,601
15,7,634
15,8,667
15,9,666
15,10,569
15,11,667
15,12,442
15,13,634
15,14,664
15,15,632
15,16,664
15,17,633
15,18,600
15,19,632
15,20,632
15,21,632
15,22,727
15,23,695
15,24,724
15,25,660
15,26,724
15,27,633
15,28,662
15,29,633
15,30,633
15,31,665
15,32,664
15,33,598
15,34,536
15,35,601
15,36,602
15,37,635
15,38,733
15,39,704
15,40,733
16,1,398
16,2,428
16,3,533
16,4,504
16,5,471
16,6,378
16,7,344
16,8,378
16,9,254
16,10,254
16,11,117
16,12,116
16,13,116
16,14,52
16,15,49
16,16,49
16,17,248
16,18,250
16,19,247
16,20,477
16,21,398
16,22,460
16,23,464
16,24,497
16,25,530
16,26,530
16,27,529
16,28,529
16,29,531
16,30,530
16,31,464
16,32,429
16,33,433
16,34,466
16,35,427
16,36,464
16,37,562
16,38,466
16,39,432
16,40,427
17,1,621
17,2,589
17,3,592
17,4,468
17,5,409
17,6,346
17,7,279
17,8,215
17,9,247
17,10,116
17,11,84
17,12,84
17,13,246
17,14,374
17,15,280
17,16,152
17,17,215
17,18,343
17,19,410
17,20,635
17,21,557
17,22,532
17,23,343
17,24,216
17,25,281
17,26,348
17,27,348
17,28,345
17,29,378
17,30,346
17,31,345
17,32,216
17,33,250
17,34,188
17,35,185
17,36,91
17,37,63
17,38,91
17,39,122
17,40,246
18,1,278
18,2,307
18,3,374
18,4,247
18,5,542
18,6,409
18,7,575
18,8,575
18,9,475
18,10,410
18,11,376
18,12,410
18,13,480
18,14,478
18,15,315
18,16,315
18,17,533
18,18,501
18,19,812
18,20,688
18,21,316
18,22,254
18,23,284
18,24,345
18,25,380
18,26,607
18,27,605
18,28,605
18,29,636
18,30,636
18,31,601
18,32,480
18,33,475
18,34,475
18,35,542
18,36,471
18,37,473
18,38,567
18,39,599
18,40,604
19,1,49
19,2,51
19,3,79
19,4,113
19,5,52
19,6,248
19,7,402
19,8,392
19,9,335
19,10,392
19,11,365
19,12,430
19,13,429
19,14,390
19,15,428
19,16,407
19,17,537
19,18,505
19,19,634
19,20,506
19,21,49
19,22,150
19,23,281
19,24,247
19,25,182
19,26,182
19,27,315
19,28,375
19,29,310
19,30,247
19,31,247
19,32,214
19,33,466
19,34,338
19,35,278
19,36,20
19,37,255
19,38,224
19,39,378
19,40,247
20,1,709
20,2,710
20,3,677
20,4,677
20,5,648
20,6,456
20,7,649
20,8,811
20,9,688
20,10,656
20,11,1000
20,12,1000
20,13,935
20,14,776
20,15,808
20,16,681
20,17,681
20,18,422
20,19,552
20,20,423
20,21,678
20,22,677
20,23,646
20,24,612
20,25,609
20,26,647
20,27,423
20,28,200
20,29,359
20,30,422
20,31,418
20,32,421
20,33,389
20,34,323
20,35,425
20,36,389
20,37,389
20,38,466
20,39,436
20,40,438
21,1,398
21,2,432
21,3,471
21,4,342
21,5,505
21,6,309
21,7,281
21,8,314
21,9,314
21,10,344
21,11,441
21,12,477
21,13,52
21,14,150
21,15,280
21,16,344
21,17,336
21,18,336
21,19,334
21,20,392
21,21,398
21,22,334
21,23,236
21,24,168
21,25,235
21,26,137
21,27,134
21,28,99
21,29,170
21,30,170
21,31,137
21,32,139
21,33,137
21,34,238
21,35,237
21,36,304
21,37,315
21,38,286
